time_s,K=0.0_mean,K=0.0_std,K=1.0_mean,K=1.0_std,learned_mean,learned_std
5.0200000000000005,0.6016117419515338,0.09729857268055958,0.7094068612371173,0.11020986699734048,0.7123320954186576,0.10817040452289618
5.04,0.6018539071083069,0.09765784755610929,0.7038746646472386,0.11171051734759949,0.7077593718256269,0.1087583998436163
5.0600000000000005,0.6020542000021253,0.09802499214515432,0.6985295840672084,0.1137414872062052,0.7035531486783709,0.10982057247249477
5.08,0.602214195898601,0.0983944124998015,0.6932967475482396,0.11635096222420989,0.6995389631816319,0.11164995952991409
5.1000000000000005,0.6023396338735308,0.09876473600712964,0.6884330000196185,0.1195438362671879,0.6957394821303231,0.11433013977781477
5.12,0.6024382284709385,0.09913633845971488,0.6840694206101554,0.1233110232206028,0.6922393441200256,0.11781137537854997
5.14,0.6025180986949376,0.0995096413306326,0.6802291103771755,0.12754434414349952,0.689027556351253,0.12204352361260284
5.16,0.6025858734335218,0.0998825657497813,0.6768338339669364,0.13210284104603556,0.6860776203019279,0.1268971355426808
5.18,0.6026467382907867,0.10025121360926467,0.6739630017961774,0.1368309800520508,0.683390736579895,0.13218390587707468
5.2,0.6027094764368874,0.10061114326504063,0.6716773978301457,0.14159210942591394,0.6810490787029266,0.13771297057725182
5.22,0.6027834415435791,0.10095776155889861,0.6699553642954145,0.14623159898195554,0.6790676457541329,0.14329658746724644
5.24,0.6028691147054944,0.10129102547892004,0.6687935292720795,0.15056886452538792,0.677476955311639,0.1487784061744772
5.26,0.602961791413171,0.10161348466208156,0.6681952774524689,0.15452248815494987,0.6762644095080239,0.15401427255040998
5.28,0.6030648137841906,0.10192381748979983,0.6681408498968396,0.1581368085074496,0.6753603603158679,0.15885687062798712
5.3,0.6031823456287384,0.10222038682305533,0.6685372846467155,0.16148726667663196,0.674727167401995,0.16315479629370508
5.32,0.6033081454890115,0.10249863367011924,0.6694133239133018,0.164304680280742,0.6743746272155217,0.1668391420957434
5.34,0.6034340006964547,0.10275161584450367,0.6704763003758022,0.16659994056139715,0.6742942673819405,0.16996037077439222
5.36,0.6035807686192649,0.10299354513480624,0.6714345216751099,0.16879878129977957,0.6743132557187762,0.17254122915633022
5.38,0.6037633546761104,0.10323671472190205,0.6721944298063006,0.17106592323248487,0.6744943048272815,0.17418694804230306
5.4,0.6039734312466213,0.103478489979869,0.6729571521282196,0.1735069433660597,0.6747019972120013,0.17568477135631624
5.42,0.6041998905794961,0.10372847429629306,0.6735343251909528,0.17558490951212138,0.6746415879045214,0.17722031964093418
5.44,0.6044406805719648,0.1039941476764613,0.6740030007702964,0.17740547083512018,0.6742347819464547,0.17854882803550134
5.46,0.6046797292573112,0.10425526928495768,0.6742758623191288,0.17894337027747817,0.6736911279814584,0.17963477843045006
5.48,0.6049114976610456,0.10450298298328818,0.6743404822690147,0.1802765814096273,0.6730794523443494,0.18040199717203925
5.5,0.6051339634827205,0.1047344084772493,0.6742988399096898,0.1811222081768065,0.6723553112574986,0.18082680743403562
5.5200000000000005,0.6053457983902523,0.10494839233703858,0.6743371869836535,0.18125053950929274,0.6716066300868988,0.18113306871772805
5.54,0.6055438348225185,0.10514471592835276,0.6736889438969749,0.18161541674419965,0.6709704441683633,0.18127972038783335
5.5600000000000005,0.6057257992880685,0.10532200860039628,0.6729407565934318,0.18155305344574518,0.6711793201310294,0.1808271551572456
5.58,0.6058896269117083,0.10547902083824814,0.6722583132130759,0.18080837311367806,0.6708128920623234,0.1814086820203813
5.6000000000000005,0.6060286675180707,0.10561685853631145,0.6711890229157039,0.17986222731860851,0.6691959415163312,0.18336631602732387
5.62,0.6061397918633052,0.1057355891043399,0.6688120833465031,0.17975021636687621,0.6672311936106,0.185332847752319
5.64,0.6062234001500266,0.10583393664851279,0.6658332986491067,0.17948749600095956,0.6648760991437095,0.18730574011726034
5.66,0.606280790907996,0.10591064466915237,0.662583725793021,0.17857134385563864,0.6623038394110543,0.18908352150206775
5.68,0.6063132626669747,0.1059649621373961,0.6589738343443189,0.1770683131423694,0.6595219671726227,0.1906090903702464
5.7,0.6063173115253448,0.10599785298397811,0.6550031857831138,0.17492282659791122,0.6565235810620444,0.19168208235852474
5.72,0.6062905022076198,0.10600742793824218,0.6506443917751312,0.17213505542371307,0.6538555196353367,0.19146700368983244
5.74,0.6062491450990949,0.10598886491966748,0.6457722016743251,0.16894531341533456,0.6513381174632481,0.1899488318843732
5.76,0.6061995795794896,0.1059460701505134,0.6403962544032505,0.16566358714813095,0.6487119538443429,0.18739622790752275
5.78,0.6061346786362785,0.1058857254007569,0.6345110237598419,0.1624630250750077,0.6457098722457886,0.1840994457794484
5.8,0.6060543656349182,0.10580878085302377,0.6279399054391044,0.15933605474137508,0.6421304770878383,0.1801965208996413
5.82,0.6059612163475582,0.10571470785416259,0.6209621684891837,0.15671559398834617,0.6378549337387085,0.17581934709853125
5.84,0.6058579768453326,0.10560342469320066,0.613778612443379,0.15472523397962554,0.6328505745955876,0.1711374019117395
5.86,0.6057472612176623,0.10547593887488509,0.6065914928913116,0.15338076623305077,0.6271438768931797,0.16638624420680811
5.88,0.6056316494941711,0.10533428376340719,0.599383430821555,0.15240816717489597,0.6207726342337472,0.16172945008078196
5.9,0.605513585465295,0.1051809846132476,0.5923065670898983,0.15165480881792476,0.6137192078999111,0.15716989772777004
5.92,0.6053950914314815,0.10501849174333758,0.5859490377562386,0.15066366504930725,0.6061479917594365,0.15272909609125365
5.94,0.6052777256284442,0.10484894107466719,0.5799832471779415,0.1495161491966566,0.5988535625594003,0.14887161728231138
5.96,0.6051628249032157,0.10467448525720481,0.5745186081954411,0.14801379015453528,0.5916113342557635,0.1451905403790297
5.98,0.605051508971623,0.10449732628055387,0.5699347087315151,0.14587448031933964,0.5843331728662763,0.14186092251922297
6.0,0.6049446974481855,0.10431959525509472,0.5663076681750161,0.14308284584754286,0.5771585277148655,0.13898755797253837
6.0200000000000005,0.6048431141035897,0.10414350508629674,0.5636632697922843,0.13966389898914522,0.5704912798745292,0.1363165461901158
6.04,0.6047473336969104,0.10397111353436332,0.561969131231308,0.1356918986579773,0.5648324574742999,0.13341120033438733
6.0600000000000005,0.6046579480171204,0.10380444553097871,0.5608545924936023,0.1316958379901631,0.5603032197271075,0.13029951884766708
6.08,0.6045750336987632,0.10364446625245943,0.560789772442409,0.12675358944938647,0.5553552891526904,0.12817201573141596
6.1000000000000005,0.604498986686979,0.10349208619500526,0.5606519750186375,0.12237141436333479,0.5490083013262067,0.12739256108288383
6.12,0.6044357546738216,0.10335871624926503,0.5591575588498797,0.12013539788471966,0.5429994591644832,0.1267659141577089
6.140000000000001,0.6043877473899296,0.10325008869253349,0.5577651986054012,0.11798932567202455,0.537860802241734,0.12603177750183978
6.16,0.6043494769505092,0.10315872026643558,0.5569142784391131,0.11529825068947647,0.533587885754449,0.12525865157836705
6.18,0.604315732206617,0.10307731323767418,0.5563698794160571,0.11251423172288,0.5300313404628209,0.12458159946991235
6.2,0.6042830646038055,0.10300109440692512,0.5561079680919647,0.1099404407901547,0.5269020327499935,0.12425724053428817
6.22,0.6042493454047612,0.10292749406740616,0.5561645243849073,0.1077292675889091,0.523974461214883,0.12446636533434806
6.24,0.6042142851012093,0.10285679816420595,0.5566159912518093,0.1060123260801614,0.5213057356221336,0.12513696023816157
